240 98 65420 16436 1160 1744
238 136 65382 16456 1192 1568
253 124 65387 16432 1152 1520
207 142 65404 16420 1120 1780
237 116 65398 16444 1248 1668
197 143 65432 16440 1220 1624
221 138 65426 16488 1152 1616
225 157 65397 16440 1172 1516
231 124 65436 16452 1212 1540
214 116 65415 16436 1128 1744
223 116 65418 16448 1172 1520
235 117 65413 16460 1148 1408
239 147 65423 16448 1116 1776
243 165 65419 16528 1188 1588
230 139 65418 16464 1216 1604
260 111 65375 16428 1180 1544
239 121 65440 16424 1192 1592
216 110 65422 16488 1172 1592
212 124 65414 16408 1192 1432
212 118 65483 16340 1076 1516
241 141 65425 16624 1172 1596
212 117 65411 16460 1200 1536
208 132 65416 16420 1192 1636
235 115 65407 16416 1148 1504
499 129 65421 16428 1252 1484
215 133 65449 16448 1084 1596
239 108 65439 16480 1164 1464
243 104 65380 16452 1168 1468
233 130 65422 16476 1180 1536
237 108 65419 16420 1156 1568
1 143 65393 16456 1200 1352
233 182 65402 16420 1168 1564
198 142 65410 16384 1176 1568
217 113 65410 16400 1208 1296
233 112 65406 16392 1132 1524
244 127 65439 16472 1144 1548
205 153 65385 16468 1196 1776
197 158 65419 16496 1196 1780
222 152 65437 16452 1096 1564
241 150 65426 16456 1220 1620
227 126 65432 16384 1168 1776
218 144 65413 16448 1160 1460
198 144 65410 16444 1184 1612
224 160 65445 16376 1224 1596
268 112 65436 16448 1072 1544
246 124 65430 16448 1156 1544
235 133 65404 16408 1128 1640
202 160 65401 16376 1252 1644
242 147 65408 16156 1224 1572
217 132 65407 16472 1232 1572
225 123 65393 16412 1112 1576
182 146 65395 16396 1176 1540
216 122 65431 16444 1160 1340
230 124 65420 16460 1200 1552
246 121 65421 16488 1136 1300
229 110 65396 16428 1176 1568
223 155 65401 16452 1044 1648
194 124 65440 16520 1160 1516
180 98 65415 16424 1140 1616
229 145 65404 16448 1160 1544
201 122 65404 16456 1188 1472
227 133 65420 16468 1200 1504
232 152 65404 16448 1172 1608
200 155 65420 16440 1172 1544
258 148 65422 16412 1144 1560
243 137 65402 16412 1208 1552
232 123 65433 16444 1152 1648
213 136 65439 16440 1156 1556
214 124 65416 16424 1244 1532
218 141 65444 16440 1188 1740
236 146 65415 16468 1144 1500
215 156 65447 16448 1192 1612
216 108 65417 16408 1124 1580
228 138 65422 16500 1144 1644
233 119 65416 16400 1188 1596
245 159 65427 16468 1172 1560
219 110 65424 16388 1136 1576
238 133 65421 16408 1196 1548
219 176 65431 16404 1180 1496
243 147 65418 16456 1212 1640
247 133 65399 16468 1180 1632
210 152 65416 16448 1196 1600
242 145 65443 16464 1200 1576
223 123 65392 16388 1168 1520
235 139 65434 16396 1148 1588
224 112 65411 16436 1160 1588
215 147 65416 16444 1176 1536
208 127 65445 16436 1200 1504
226 131 65406 16476 1136 1612
216 117 65412 16456 1212 1556
250 130 65470 16416 1224 1488
217 153 65424 16400 1144 1564
220 155 65432 16460 1188 1508
220 104 65445 16432 1180 1476
248 157 65420 16448 1144 1564
231 153 65421 16404 1128 1496
220 112 65368 16492 1256 1660
229 121 65361 16536 1172 1628
247 150 65375 16508 1240 1580
256 186 65407 16468 1240 1584
264 158 65425 16624 1216 1496
210 121 65496 16376 1184 1460
213 86 65453 16440 1132 1444
205 89 65369 16448 1152 1520
229 88 65375 16500 1132 1516
241 128 65385 16420 1228 1776
